id,address,store_pincode,store_manager_name,store_opening_date,reviews
63,"44/11, Kota Circle, Bhiwani-353348",030201,Yoshita Ghosh,2006-09-04,Ullam aspernatur numquam dolorem eligendi. Recusandae doloremque quos consectetur magni omnis. Sint ullam voluptatem. Totam sequi adipisci veritatis provident voluptatem.
100,"30, Saraf Circle, Jamnagar 351217",953499,Arjun Pathak,2001-07-08,Sapiente dolorem quibusdam. Hic at facilis enim culpa. Ab amet explicabo consequuntur nisi recusandae.
4,"85/880, Kapadia Path, Gulbarga 143164",765194,Jatin Vasa,2005-04-28,Quas cum dolorem ipsam iure veniam dolores. Temporibus eligendi vel ratione veniam.
1,"H.No. 78, Gara Chowk, Munger-731286",754641,Chandani Kohli,2017-03-14,Consectetur laudantium rerum unde tempore unde mollitia. Repellat architecto necessitatibus a hic tempora. Ducimus aliquid dolores ipsa.
22,"98/834, Bora Ganj, Dharmavaram-898570",484963,Anamika Karnik,2006-03-02,Et aliquam excepturi quibusdam incidunt voluptatibus pariatur facilis.
96,"28/337, Sridhar Marg, Morena-527447",846032,Advika Taneja,2011-05-31,Quis perspiciatis distinctio veritatis blanditiis molestias ut culpa. Sit culpa dolorem aspernatur recusandae incidunt. Repellat suscipit similique quidem reiciendis necessitatibus iure.
72,"16, Subramanian, Dindigul-302513",008943,Shravya Dua,2011-04-29,Veniam beatae porro ea natus. Tenetur laboriosam architecto.
16,"080, Prashad Ganj, Tinsukia 355765",563657,Chameli Nagi,2007-10-04,Enim dicta natus necessitatibus voluptates explicabo beatae quisquam.
93,"879, Iyer Street, Jammu 369560",801031,Ayaan Baral,2013-03-15,Culpa incidunt facilis dolor. Fuga quod non unde occaecati tempora. Veniam ea culpa ipsam. Placeat tempore soluta nam animi reprehenderit perferendis.
43,"35/482, Bhargava Chowk, Bathinda-177656",113242,Vedhika Rama,2008-02-17,Iste dicta explicabo rem. Deserunt laboriosam eaque perferendis animi numquam.
